title,time_str,time,url_link,location,county,state,magnitude,depth_km,depth_mi
M 2 0 0 km N of Lluveras Puerto Rico,2022-04-15T00:56:14.190Z,2022-04-15 00:56:14.190000,https://earthquake.usgs.gov/earthquakes/eventpage/pr71344598,"{'type': 'Point', 'coordinates': (-66.9058333333333, 18.0443333333333)}",Puerto,Rico,2.0,6.38,3.96
M 2 2 25 km NW of Ninilchik Alaska,2022-04-15T00:46:21.028Z,2022-04-15 00:46:21.028000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224tnob75,"{'type': 'Point', 'coordinates': (-152.0423, 60.1843)}",Ninilchik,Alaska,2.2,60.60,37.66
M 0 9 11km SE of Warner Springs CA,2022-04-15T00:44:20.181Z,2022-04-15 00:44:20.181000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236736,"{'type': 'Point', 'coordinates': (-116.5395, 33.2223333)}",Springs,CA,0.9,0.21,0.13
M 0 9 6km SSW of Borrego Springs CA,2022-04-15T00:44:11.492Z,2022-04-15 00:44:11.492000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236728,"{'type': 'Point', 'coordinates': (-116.4096667, 33.2083333)}",Springs,CA,0.9,2.72,1.69
M 0 9 7km N of Cabazon CA,2022-04-15T00:21:10.040Z,2022-04-15 00:21:10.040000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236704,"{'type': 'Point', 'coordinates': (-116.7825, 33.9791667)}",Cabazon,CA,0.9,8.94,5.56
M 2 3 11km W of Lake Pillsbury CA,2022-04-15T00:42:16.989Z,2022-04-15 00:42:16.989000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717665,"{'type': 'Point', 'coordinates': (-123.0871658, 39.4156685)}",Pillsbury,CA,2.3,-0.71,-0.44
M 1 5 38 km W of Aleneva Alaska,2022-04-15T00:21:58.253Z,2022-04-15 00:21:58.253000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224tngd09,"{'type': 'Point', 'coordinates': (-153.5493, 58.0018)}",Aleneva,Alaska,1.5,31.10,19.32
M 1 5 2km SE of Pleasant Hill CA,2022-04-15T00:58:10.085Z,2022-04-15 00:58:10.085000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717655,"{'type': 'Point', 'coordinates': (-122.0491638, 37.9368324)}",Hill,CA,1.5,8.14,5.06
M 4 6 56 km NNW of Neiafu Tonga,2022-04-15T00:29:32.040Z,2022-04-15 00:29:32.040000,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h2dj,"{'type': 'Point', 'coordinates': (-174.2555, -18.2156)}",Neiafu,Tonga,4.6,171.92,106.83
M 1 2 7km NW of The Geysers CA,2022-04-15T00:32:10.927Z,2022-04-15 00:32:10.927000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717650,"{'type': 'Point', 'coordinates': (-122.8106689, 38.8258324)}",Geysers,CA,1.2,1.73,1.07
M 1 9 36 km W of Nanwalek Alaska,2022-04-14T23:44:36.040Z,2022-04-14 23:44:36.040000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sdq25x,"{'type': 'Point', 'coordinates': (-152.5506, 59.4062)}",Nanwalek,Alaska,1.9,81.70,50.77
M 0 4 19km ESE of Anza CA,2022-04-14T23:52:04.863Z,2022-04-14 23:52:04.863000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236640,"{'type': 'Point', 'coordinates': (-116.4811667, 33.4945)}",Anza,CA,0.4,13.90,8.64
M 0 5 15km S of Joshua Tree CA,2022-04-14T23:49:42.850Z,2022-04-14 23:49:42.850000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236632,"{'type': 'Point', 'coordinates': (-116.3305, 34.0015)}",Tree,CA,0.5,9.98,6.20
M 2 9 3 km N of Susitna Alaska,2022-04-15T00:02:05.752Z,2022-04-15 00:02:05.752000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sdm5q3,"{'type': 'Point', 'coordinates': (-150.4991, 61.5768)}",Susitna,Alaska,2.9,49.40,30.70
M 0 8 2km NNW of The Geysers CA,2022-04-14T23:45:16.655Z,2022-04-14 23:45:16.655000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717645,"{'type': 'Point', 'coordinates': (-122.7630005, 38.7895012)}",Geysers,CA,0.8,1.64,1.02
M 1 2 8 km ENE of Fox Alaska,2022-04-14T23:12:06.536Z,2022-04-14 23:12:06.536000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sdl5lr,"{'type': 'Point', 'coordinates': (-147.4434, 64.9865)}",Fox,Alaska,1.2,0.00,0.00
M 0 1 22km ESE of Little Lake CA,2022-04-14T23:58:34.919Z,2022-04-14 23:58:34.919000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236616,"{'type': 'Point', 'coordinates': (-117.6808333, 35.8496667)}",Lake,CA,0.1,8.68,5.39
M 0 7 6km NW of Anza CA,2022-04-14T23:44:14.821Z,2022-04-14 23:44:14.821000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236600,"{'type': 'Point', 'coordinates': (-116.7213333, 33.587)}",Anza,CA,0.7,12.74,7.92
M 0 7 18km ESE of Anza CA,2022-04-14T23:39:23.766Z,2022-04-14 23:39:23.766000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236592,"{'type': 'Point', 'coordinates': (-116.4951667, 33.5008333)}",Anza,CA,0.7,13.47,8.37
M 0 5 7km NW of The Geysers CA,2022-04-14T23:23:22.537Z,2022-04-14 23:23:22.537000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717640,"{'type': 'Point', 'coordinates': (-122.8098297, 38.8261681)}",Geysers,CA,0.5,1.13,0.70
M 0 6 8km ENE of Coso Junction CA,2022-04-14T23:57:24.885Z,2022-04-14 23:57:24.885000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236584,"{'type': 'Point', 'coordinates': (-117.8655, 36.0728333)}",Junction,CA,0.6,2.41,1.50
M 4 9 Near the coast of Valparaiso Chile,2022-04-15T00:28:40.256Z,2022-04-15 00:28:40.256000,https://earthquake.usgs.gov/earthquakes/eventpage/us7000h2cz,"{'type': 'Point', 'coordinates': (-71.4483, -32.179)}",Valparaiso,Chile,4.9,45.59,28.33
M 0 7 17km W of Searles Valley CA,2022-04-14T23:55:44.879Z,2022-04-14 23:55:44.879000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236576,"{'type': 'Point', 'coordinates': (-117.5871667, 35.7778333)}",Valley,CA,0.7,8.37,5.20
M 1 4 3km ESE of The Geysers CA,2022-04-14T23:39:10.626Z,2022-04-14 23:39:10.626000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717635,"{'type': 'Point', 'coordinates': (-122.7256699, 38.7718315)}",Geysers,CA,1.4,0.96,0.60
M 0 7 6km NW of Anza CA,2022-04-14T23:33:42.910Z,2022-04-14 23:33:42.910000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236568,"{'type': 'Point', 'coordinates': (-116.7215, 33.588)}",Anza,CA,0.7,12.89,8.01
M 1 3 7km SSW of Redlands CA,2022-04-14T23:30:29.230Z,2022-04-14 23:30:29.230000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236552,"{'type': 'Point', 'coordinates': (-117.2061667, 33.9936667)}",Redlands,CA,1.3,16.04,9.97
M 0 7 8km WNW of Cobb CA,2022-04-14T22:37:18.273Z,2022-04-14 22:37:18.273000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717625,"{'type': 'Point', 'coordinates': (-122.8096695, 38.8373337)}",Cobb,CA,0.7,1.73,1.07
M 1 9 5km SE of Goleta CA,2022-04-14T23:38:31.869Z,2022-04-14 23:38:31.869000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236536,"{'type': 'Point', 'coordinates': (-119.789, 34.409)}",Goleta,CA,1.9,2.99,1.86
M 0 8 13km ENE of Cloverdale CA,2022-04-14T21:43:26.372Z,2022-04-14 21:43:26.372000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717615,"{'type': 'Point', 'coordinates': (-122.8781662, 38.8423347)}",Cloverdale,CA,0.8,2.51,1.56
M 1 2 7km NW of The Geysers CA,2022-04-14T23:14:11.490Z,2022-04-14 23:14:11.490000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717610,"{'type': 'Point', 'coordinates': (-122.8219986, 38.8165016)}",Geysers,CA,1.2,2.77,1.72
M 1 0 10km SSW of Trona CA,2022-04-14T23:14:32.561Z,2022-04-14 23:14:32.561000,https://earthquake.usgs.gov/earthquakes/eventpage/ci40236504,"{'type': 'Point', 'coordinates': (-117.4096667, 35.6745)}",Trona,CA,1.0,8.41,5.23
M 0 5 7km NW of The Geysers CA,2022-04-14T21:16:06.220Z,2022-04-14 21:16:06.220000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717605,"{'type': 'Point', 'coordinates': (-122.8223343, 38.8163338)}",Geysers,CA,0.5,3.66,2.27
M 1 1 17 km W of Willow Alaska,2022-04-14T21:16:54.787Z,2022-04-14 21:16:54.787000,https://earthquake.usgs.gov/earthquakes/eventpage/ak0224sch821,"{'type': 'Point', 'coordinates': (-150.3661, 61.7264)}",Willow,Alaska,1.1,44.20,27.46
M 2 1 6 km SSE of Guánica Puerto Rico,2022-04-14T21:20:32.840Z,2022-04-14 21:20:32.840000,https://earthquake.usgs.gov/earthquakes/eventpage/pr71344593,"{'type': 'Point', 'coordinates': (-66.893, 17.914)}",Puerto,Rico,2.1,14.17,8.80
M 0 1 61 km WNW of Beluga Alaska,2022-04-15T00:28:06.240Z,2022-04-15 00:28:06.240000,https://earthquake.usgs.gov/earthquakes/eventpage/av91538401,"{'type': 'Point', 'coordinates': (-152.0775, 61.42)}",Beluga,Alaska,0.1,4.92,3.06
M 3 0 12km N of McArthur CA,2022-04-14T23:54:40.852Z,2022-04-14 23:54:40.852000,https://earthquake.usgs.gov/earthquakes/eventpage/nc73717600,"{'type': 'Point', 'coordinates': (-121.3919983, 41.1559982)}",McArthur,CA,3.0,-1.26,-0.78
